filename,duration,distance,average heart rate,average pace,starting time,rTSS,date
activity_10909362288.tcx,1580.0,5.0 km,150 bpm,0:05:16 mins/km,2023-04-15 12:56:04+01:00,25,2023-04-15
activity_10665363229.tcx,4462.0,15.06 km,157 bpm,0:04:56 mins/km,2023-03-10 07:04:27+00:00,80,2023-03-10
activity_12006015235.tcx,3733.0,12.95 km,146 bpm,0:04:48 mins/km,2023-09-12 12:50:07+01:00,72,2023-09-12
activity_12169029648.tcx,2048.0,7.06 km,150 bpm,0:04:50 mins/km,2023-10-04 12:11:49+01:00,38,2023-10-04
activity_9334216070.tcx,2672.0,8.46 km,144 bpm,0:05:16 mins/km,2022-08-04 06:48:49+01:00,42,2022-08-04
activity_10487541690.tcx,2311.0,10.04 km,153 bpm,0:03:50 mins/km,2023-02-11 09:50:09+00:00,68,2023-02-11
activity_12686520357.tcx,1388.0,5.81 km,144 bpm,0:03:59 mins/km,2023-11-11 11:02:58+00:00,38,2023-11-11
activity_11571306823.tcx,3291.0,11.01 km,145 bpm,0:04:59 mins/km,2023-07-16 08:06:21+01:00,58,2023-07-16
activity_13144303080.tcx,2075.0,7.26 km,153 bpm,0:04:46 mins/km,2023-12-18 12:30:02+00:00,40,2023-12-18
activity_11394895153.tcx,3102.0,10.13 km,149 bpm,0:05:06 mins/km,2023-06-21 18:18:53+01:00,52,2023-06-21
activity_10612763142.tcx,2798.0,9.13 km,152 bpm,0:05:06 mins/km,2023-03-02 07:28:20+00:00,47,2023-03-02
activity_10564299140.tcx,2239.0,6.95 km,144 bpm,0:05:22 mins/km,2023-02-22 18:12:44+00:00,34,2023-02-22
activity_12061705549.tcx,4191.0,13.53 km,147 bpm,0:05:10 mins/km,2023-09-19 18:12:53+01:00,76,2023-09-19
activity_10764800742.tcx,1176.0,5.08 km,149 bpm,0:03:51 mins/km,2023-03-25 09:07:57+00:00,34,2023-03-25
activity_11041719730.tcx,4693.0,14.81 km,146 bpm,0:05:17 mins/km,2023-05-04 06:55:04+01:00,73,2023-05-04
activity_9112972407.tcx,2530.0,7.83 km,149 bpm,0:05:23 mins/km,2022-06-30 07:43:37+01:00,38,2022-06-30
activity_12214125460.tcx,1149.0,3.74 km,160 bpm,0:05:07 mins/km,2023-10-07 14:46:08+01:00,19,2023-10-07
activity_9875748932.tcx,1233.0,5.06 km,153 bpm,0:04:04 mins/km,2022-10-29 08:01:11+08:00,33,2022-10-29
activity_9204624095.tcx,3742.0,10.68 km,133 bpm,0:05:50 mins/km,2022-07-14 18:10:26+01:00,57,2022-07-14
