,duration,distance,average heart rate,average pace,starting time,rTSS,date
0,1146.0,3.21 km,158 bpm,0:05:57 mins/km,2023-12-07 05:53:57+08:00,24,2023-12-07
1,1863.0,5.51 km,163 bpm,0:05:38 mins/km,2023-08-31 07:17:48+10:00,43,2023-08-31
2,3522.0,10.54 km,160 bpm,0:05:34 mins/km,2023-07-26 07:00:53+10:00,83,2023-07-26
3,997.0,3.61 km,164 bpm,0:04:36 mins/km,2023-11-11 09:02:25+11:00,35,2023-11-11
4,1559.0,3.74 km,137 bpm,0:06:57 mins/km,2023-07-30 17:38:54+12:00,24,2023-07-30
5,1704.0,5.11 km,162 bpm,0:05:33 mins/km,2023-10-30 06:51:19+11:00,41,2023-10-30
6,271.0,0.71 km,138 bpm,0:06:22 mins/km,2023-12-15 18:30:04+11:00,5,2023-12-15
7,2126.0,6.64 km,167 bpm,0:05:20 mins/km,2023-07-04 17:10:25+10:00,55,2023-07-04
8,1397.0,4.0 km,149 bpm,0:05:49 mins/km,2023-08-15 20:29:31+10:00,30,2023-08-15
9,333.0,1.1 km,154 bpm,0:05:04 mins/km,2023-11-04 08:01:39+11:00,9,2023-11-04
10,2188.0,6.4 km,160 bpm,0:05:42 mins/km,2023-12-23 08:08:09+01:00,49,2023-12-23
11,1928.0,6.09 km,156 bpm,0:05:17 mins/km,2023-08-24 07:54:14+10:00,51,2023-08-24
12,1725.0,5.33 km,163 bpm,0:05:23 mins/km,2023-06-26 19:30:04+10:00,44,2023-06-26
13,3073.0,9.2 km,152 bpm,0:05:34 mins/km,2023-05-30 06:03:31+10:00,73,2023-05-30
14,233.0,0.62 km,131 bpm,0:06:15 mins/km,2023-07-10 08:03:20+10:00,4,2023-07-10
15,2419.0,6.88 km,156 bpm,0:05:52 mins/km,2023-07-20 07:12:12+10:00,52,2023-07-20
16,1712.0,5.32 km,163 bpm,0:05:22 mins/km,2023-06-30 09:17:45+10:00,44,2023-06-30
17,292.0,0.78 km,140 bpm,0:06:14 mins/km,2023-12-15 18:42:46+11:00,6,2023-12-15
18,14300.0,42.78 km,167 bpm,0:05:34 mins/km,2023-09-24 09:48:01+02:00,338,2023-09-24
19,1322.0,3.72 km,154 bpm,0:05:56 mins/km,2023-06-22 06:55:47+10:00,28,2023-06-22
20,1946.0,5.7 km,157 bpm,0:05:41 mins/km,2023-09-13 20:00:31+01:00,44,2023-09-13
21,1576.0,4.15 km,157 bpm,0:06:20 mins/km,2023-12-13 06:34:27+11:00,29,2023-12-13
22,1681.0,5.2 km,155 bpm,0:05:23 mins/km,2023-11-17 17:09:32+11:00,42,2023-11-17
23,7897.0,22.02 km,159 bpm,0:05:59 mins/km,2023-08-19 08:56:23+10:00,162,2023-08-19
24,8046.0,22.24 km,167 bpm,0:06:02 mins/km,2023-09-10 07:25:21+01:00,162,2023-09-10
25,1546.0,4.56 km,152 bpm,0:05:39 mins/km,2023-09-20 07:51:11+02:00,35,2023-09-20
26,2649.0,8.02 km,161 bpm,0:05:30 mins/km,2023-05-28 16:20:38+10:00,64,2023-05-28
27,4076.0,12.08 km,166 bpm,0:05:37 mins/km,2023-09-17 09:52:47+02:00,95,2023-09-17
28,1768.0,5.23 km,159 bpm,0:05:38 mins/km,2023-08-29 08:22:27+10:00,41,2023-08-29
29,387.0,1.0 km,156 bpm,0:06:26 mins/km,2023-09-24 08:33:23+02:00,7,2023-09-24
30,1706.0,4.11 km,139 bpm,0:06:55 mins/km,2023-08-01 08:39:37+12:00,26,2023-08-01
31,1422.0,4.34 km,171 bpm,0:05:28 mins/km,2023-11-04 08:50:10+11:00,35,2023-11-04
32,9625.0,27.19 km,159 bpm,0:05:54 mins/km,2023-08-26 08:18:12+10:00,203,2023-08-26
33,1865.0,5.13 km,157 bpm,0:06:03 mins/km,2023-05-27 09:37:32+10:00,38,2023-05-27
34,2406.0,6.71 km,170 bpm,0:05:59 mins/km,2023-12-18 17:40:55+11:00,49,2023-12-18
35,11568.0,32.01 km,156 bpm,0:06:01 mins/km,2023-09-02 08:25:18+10:00,234,2023-09-02
36,1649.0,5.0 km,160 bpm,0:05:30 mins/km,2023-07-17 08:19:45+10:00,40,2023-07-17
37,1018.0,3.0 km,159 bpm,0:05:39 mins/km,2023-11-21 09:34:19+11:00,24,2023-11-21
38,5668.0,15.0 km,155 bpm,0:06:18 mins/km,2023-07-22 09:08:14+10:00,106,2023-07-22
39,1921.0,5.66 km,156 bpm,0:05:39 mins/km,2023-09-22 08:40:50+02:00,44,2023-09-22
40,3044.0,8.82 km,171 bpm,0:05:45 mins/km,2023-11-29 06:36:50+08:00,68,2023-11-29
41,2420.0,7.4 km,156 bpm,0:05:27 mins/km,2023-06-01 18:09:59+10:00,60,2023-06-01
42,2065.0,6.06 km,158 bpm,0:05:41 mins/km,2023-09-14 12:11:03+01:00,47,2023-09-14
43,1755.0,4.99 km,173 bpm,0:05:51 mins/km,2023-10-17 07:37:18+11:00,38,2023-10-17
44,8796.0,24.55 km,159 bpm,0:05:58 mins/km,2023-06-04 07:58:26+10:00,181,2023-06-04
45,431.0,1.31 km,141 bpm,0:05:29 mins/km,2023-11-21 17:37:40+11:00,11,2023-11-21
46,3358.0,6.66 km,129 bpm,0:08:24 mins/km,2023-10-01 08:01:09+02:00,37,2023-10-01
47,3663.0,10.25 km,155 bpm,0:05:57 mins/km,2023-07-15 09:52:12+10:00,76,2023-07-15
48,965.0,3.05 km,168 bpm,0:05:16 mins/km,2023-12-03 19:22:56+08:00,25,2023-12-03
49,6501.0,18.13 km,160 bpm,0:05:59 mins/km,2023-08-13 06:28:33+10:00,135,2023-08-13
50,5669.0,15.01 km,167 bpm,0:06:18 mins/km,2023-08-06 14:12:57+10:00,105,2023-08-06
51,2282.0,7.26 km,164 bpm,0:05:14 mins/km,2023-05-18 06:14:24+10:00,62,2023-05-18
52,1480.0,4.62 km,172 bpm,0:05:21 mins/km,2023-10-11 07:23:50+11:00,38,2023-10-11
53,1356.0,4.07 km,161 bpm,0:05:33 mins/km,2023-08-03 08:24:15+10:00,32,2023-08-03
